	Domain	Phylum	Class	Order	Family	Genus	Species
00a26c95b40f5cd4925c827e26346a11	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
35aa1027911e7492fb5002463dc21611	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
65cb74ee9631da9cb026b1f75ea7edc3	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	unknown	unknown	unknown
ccd9b354fd13b1f62ace2ff4e0ee25d4	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
e1ecab9fd54150c8b5ead8c3b0383895	d__Bacteria	 p__Chloroflexi	unknown	unknown	unknown	unknown	unknown
1612a3edec303939bced81f3c0d956dc	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
aca2678b9c66a9263780f320af8f13fc	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	unknown	unknown	unknown
0a27c0960c810f7641ef73ff73e33aa6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolinea	 s__uncultured_soil
6b7c5ff5736c0d121b2ead70e7a67a9b	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolinea	 s__uncultured_bacterium
acdaa5ca63ce638c6298cddd35da869d	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_Chloroflexi
8c64a2a66109f2e94a52c11c28ec73bd	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__uncultured	 g__uncultured	 s__uncultured_archaeon
819e57fa1b77a5adb9545c53cce5f04e	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	unknown
563a1706afbae5e073eb0ff3c74cc707	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
3c884a1830fc28bb45d6640dad515134	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
39c5b1bba87f83430890f12665e71209	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
c6e29ccb47d995d456acb767955dab35	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
1ccd2428f477373ee1c4b8ed08fc506d	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
99130d5be5410894f8f2bc8c1917677e	d__Bacteria	 p__Firmicutes	unknown	unknown	unknown	unknown	unknown
5752cbe3c5f7a26b2999771917d8836a	d__Bacteria	 p__Firmicutes	 c__Thermacetogenia	 o__Thermacetogeniales	 f__Thermacetogeniaceae	 g__Syntrophaceticus	 s__uncultured_bacterium
63d0cd584caf4510ca18b6764d12212b	d__Bacteria	 p__Firmicutes	 c__Desulfotomaculia	 o__Desulfotomaculales	 f__Desulfallas-Sporotomaculum	 g__BRH-c8a	unknown
f3734c4d184fbde745511f6e29696f19	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
686eac2aba0b70da56e75212f672b744	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
16d98ac61a55d28d54634443976d786a	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	unknown
4d52b0703c2bd679268f43307577ae42	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_sludge
c265ba58af72fc9cfb8034f6be714470	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
4e6563907368a92531286527fb745217	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
fe043aa06bcd9ade35d9ab31de031e44	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Candidatus_Peribacteria	 f__Candidatus_Peribacteria	 g__Candidatus_Peribacteria	unknown
bb2eadbf83c16dc18dac611740712e8e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Elsterales	unknown	unknown	unknown
1eed17466e9b1a36340cc42c90219ce9	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
619005f9130aa965c14c4bb8699ddeb9	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
f9919e86e526b956da191f30ca2109aa	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_soil
0dfde20df1cc72f9121e9ba4ca400f5b	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
82c4d28776cb10bc1c52a14517e9ca73	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_soil
129efa4ba227d5f0a80d763b31d86382	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_soil
166c7db8561d0d14457a27b774278760	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_soil
13005716a2a50c18a30f459ce9b7ea5c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_soil
31434fb0cec6c33d3ef1d455de850ba3	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__wastewater_metagenome
bf7d75c9fac5cf88d21e5daf02ff9f73	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
848d942a7503e617bc76ab328c674202	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
ca8566b8f1fe656f3e6de370120b57a2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
c5a341f3b198d5824eae016e1e5342ec	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	unknown
2f01d0ea73b2c45e68f79b43dc6ace43	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
e17f08061e4dd81cdd72e290a451d06a	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
ef1cf293c8fe2a96ba97867e51446339	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
4c1e273a73d8d25311caafd43dea65a5	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	unknown
542c0dc929e6746a535f417ed1205f70	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_eubacterium
