	Domain	Phylum	Class	Order	Family	Genus	Species
9114eb868185f74c44d8c1798765d05d	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	unknown
28e9bf985bbbded852a9931e6c10522f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SJA-15	 f__SJA-15	 g__SJA-15	unknown
193e3b6c3d6f3865ab69804c7c905d17	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
439da2a5ca9df7c2b4d8064e5865ac48	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_Chloroflexi
1b5240bfacab76468aa79b3f690d7308	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
6c15630b20167f1ac4551975e9c7ad90	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__uncultured	 g__uncultured	 s__uncultured_Litorilinea
e9962414ecfa1874b7c7aace33c9f50f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__uncultured	 g__uncultured	 s__uncultured_Litorilinea
93555c7e010e294d87440ace20b2a201	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__uncultured	 g__uncultured	 s__uncultured_Litorilinea
07fe68a7f618405e4352c9c8f30aae32	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__uncultured	 g__uncultured	 s__uncultured_prokaryote
6be90e2520716013f174f5133eebd590	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__uncultured	 g__uncultured	 s__uncultured_prokaryote
85825e4a03637577b3618f65bc532d78	d__Bacteria	 p__Bacteroidota	 c__SJA-28	 o__SJA-28	 f__SJA-28	 g__SJA-28	 s__Chlorobi_bacterium
f79fedd9ed75ac7054cc4090d5309e27	d__Bacteria	 p__Actinobacteriota	 c__MB-A2-108	 o__MB-A2-108	 f__MB-A2-108	 g__MB-A2-108	 s__uncultured_actinobacterium
0ae6242408e93dd8926c2bca168cd7b5	d__Bacteria	 p__Actinobacteriota	 c__MB-A2-108	 o__MB-A2-108	 f__MB-A2-108	 g__MB-A2-108	 s__uncultured_actinobacterium
e8705e0444150356a0caefdd9c3abbf6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
b35ba3b9b229b7eedc6d990bb3768088	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
da3f98ff83eff2e23769238224e02484	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
acb21675f60f30eb64b815adee11e52c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__metagenome
1a74c2a25da39e3ddc08a512c20b4475	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
f550ac461470d29495125001f9516c90	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_bacterium
42b508a8b8b44f7ce74bc56992b1cc7d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	unknown	unknown
ebf340b15210aa671e39e7c4179e8d48	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_sludge
d34526d87a830abd9c9a42705fdf9c0e	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	unknown
b1f4f336a2057825758842953cc2d72e	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
48c93955f2b16b18c329e4a989f37815	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_sludge
81c2fd47c0fa2a728293fed15b428cd5	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_sludge
ea362bfabeed4b9b149531e1fe69e5ba	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
0566bc4eda62d3f1d3f1b7aae7164fce	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
d1e4aea80dcfa45e9512d575dc473fcd	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
c9300770a18755d6c65b1b530109a2a4	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_soil
444c37cb5ddefc678283450c873eb7ba	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
949966cba56cc77d0e7e33edd030d94d	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
a92d0532803c6da1e224285c6d22358b	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_soil
7759f93abec5153271d49176eedfac4f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__wastewater_metagenome
18eba2e58d94a4fb9d55366a22d404c8	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__wastewater_metagenome
e30050cedbd710533e86760d76cfed3e	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__wastewater_metagenome
e188d6cd7743b780b7ec27a0f9caeacd	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
a3dd650652ba6bca6153663c5d569898	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
252fd3643b0069c95d90b89d0e2c4d60	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
3311a6806a4b659c438f99d031ec98c6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
a0b28fed91caabf13b982b5efaceb8f0	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
ad3a6139cbfc50351a9587ee22372873	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
e002cd1c49bdc59e1ee9da68851cc81a	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_eubacterium
2f1899dc770673e2e7d0a83447814242	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_eubacterium
1ed4a1169327fed4ea266e13ddad2e0c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	unknown
85cbb6ce81b80516b5e1dc1d3709588c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
b20b6edaf4fc462ebb3e62f49e25559b	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
928d0eaf5a4e0c8b73477f441eee02f8	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__hot_springs
19f4ff23ec78b4406befd5d3f7d60289	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
75ed9206ead880d7d04157f5405d6961	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
1672c1997d6b1d9688eb07b7190d11b4	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
26caba22fe22d4b7a43068c00322aece	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
9dac21cbad17ec03e62d4bde9512cb1e	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
736c6fe4bbe7b42ee3ecf9a27ffd4a31	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
d064b4877d647c92fca25c6285ed2464	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
1ff887aa8db655b8e92afa652d0b3b28	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
913801fd04da9f0a185cfde660554e8c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
a3c21f0d6d9591ef4e364fef621fba81	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
010da975074d4e3ad286b79c87644db1	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
8bed14cff280936ec659104fa3232a9c	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
556c03abd1eebc7fe5e24dcbdb0eea90	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	unknown	unknown
a595940cd0eba1f848c9ec567d29610c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	unknown	unknown
6f758db17fa689392b88f576a4418e8f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	unknown	unknown	unknown
aa8db75a8f1f1166dc1e02c063db3f9b	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_soil
56bd6565de402163f879ea1b6dba6bee	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_sludge
af59d1778b06605caef9c41d7efd63f6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
66d0faadef29a71a30e0a55b8bb1858c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
1de2dd7014fd7208f2930efbcaeda350	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__uncultured_Pirellula
dc4b2116c4cbe0d9b961fbd8fdf59d09	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__uncultured_Pirellula
39c2d915e055c2914889a36ee6043580	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__uncultured_Pirellula
7d4b072e2c1739885cc288474282756d	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	 s__metagenome
eac2c91a9284df967ec90e24be51ed01	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_soil
603a548e96207e0a3f88000935e8d0dd	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_soil
c1a9b03e83867a6c30b87f1547ecba2a	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_soil
175b8ccb909221d6934932dd924f18c7	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)	unknown	unknown
6b5611904ae684a620c31c0673ff4a82	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Gaiellales	 f__Gaiellaceae	 g__Gaiella	 s__uncultured_Conexibacter
01956f563148f93cc1a371c5e5138b6b	d__Bacteria	 p__Armatimonadota	 c__Chthonomonadetes	 o__Chthonomonadales	 f__Chthonomonadaceae	 g__Chthonomonas	unknown
9d57f391f840220521874bc389844c34	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	unknown
309c150c11cefa8214067912ce328d46	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_Planctomycetales
54cda107f56ff754868e3583a72c9c35	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	unknown
2ece30b02116275477dee40ede649148	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_soil
13ed055139d995f182cc3ac9ffa97e5c	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_Acidobacterium
dc9e3501713f803aeee386dc13aadb48	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_Acidobacterium
eb9a68d4f8be1f44e344540a675db412	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_Acidobacterium
a24e967878b430e39484a8612c224cf4	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_sludge
5885f6de93f8c1015f442d1d617d3d0a	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	unknown
4b4bee222d9079bd39c33bc96f81b1cf	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_Acidobacterium
52b43e3df7c5150c9ab3edf7aa303be6	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_Acidobacterium
0d40c713c4cd99a723d0b51e166090da	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	unknown
2336abf4dfa3c2063060d6aa30497fcf	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_soil
fbeacb434b9371efa24f4e2d78828303	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	unknown
9db2e124a1140d163952a720d0e6b1e0	d__Bacteria	 p__Latescibacterota	 c__Latescibacteria	 o__Latescibacterales	 f__Latescibacteraceae	 g__Latescibacteraceae	 s__metagenome
3b94c509d2fcacadce536329f4ace7f2	d__Bacteria	 p__Latescibacterota	 c__Latescibacteria	 o__Latescibacterales	 f__Latescibacteraceae	 g__Latescibacteraceae	 s__metagenome
20ad35adad62b1f60b75e74983164777	d__Bacteria	 p__Latescibacterota	 c__Latescibacteria	 o__Latescibacterales	 f__Latescibacteraceae	 g__Latescibacteraceae	 s__metagenome
4286c09e9e32d0b119686c4df9732225	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_bacterium
fe1937ec978683003be06418477a8f07	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_bacterium
c0750748ba09d51c44beb607ad1437cd	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae	 g__uncultured	unknown
f75f736fbdb8e8ee5046e0a1fcdc4863	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_Anaerolineae
10bf0c00aa1ac1623fc907206ab49826	d__Bacteria	 p__Actinobacteriota	 c__MB-A2-108	 o__MB-A2-108	 f__MB-A2-108	 g__MB-A2-108	 s__uncultured_Actinomycetales
39e28c3e6d80660214207b3e52bf8e8f	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
3c2c81ee0ef1668e2b3434506ca24488	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__Acidothermaceae	 g__Acidothermus	unknown
cc50c7de38d6c376aec27b832e9ecf5b	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__Acidothermaceae	 g__Acidothermus	unknown
e75ad2ebc606a7ae3941710bfd88a037	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Iamiaceae	 g__Iamia	 s__Aquihabitans_daechungensis
15db4398c91d140663273059378f2d23	d__Bacteria	 p__Firmicutes	 c__Limnochordia	 o__Limnochordia	 f__Limnochordia	 g__Hydrogenispora	 s__uncultured_prokaryote
12fca034dfe25c9de7c1f4bc275a2fb7	d__Bacteria	 p__Firmicutes	 c__Limnochordia	 o__Limnochordia	 f__Limnochordia	 g__Hydrogenispora	 s__uncultured_prokaryote
74481447bbac9315238a73ecb197b803	d__Bacteria	 p__Firmicutes	 c__Limnochordia	 o__Limnochordia	 f__Limnochordia	 g__Hydrogenispora	 s__uncultured_prokaryote
775498b5962f9ff559ee0c2ca012f3b8	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
806ad4dc83b8fca92ccf1c3591181d14	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Thermomicrobiales	 f__AKYG1722	 g__AKYG1722	 s__uncultured_soil
b8dcc029e4c20dd786d2d50915415e47	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__uncultured	 s__uncultured_Caldilinea
3e9c0f14274217ca1356187898e3ed70	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_compost
b08cff927ec395ab0e3be5f6ce700bcb	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_compost
bdc706c6483e32c60a3025b6b4cb6464	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Candidatus_Peribacteria	 f__Candidatus_Peribacteria	 g__Candidatus_Peribacteria	 s__metagenome
ae175bd2a4b406c77f54315c7878c7a3	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Candidatus_Peribacteria	 f__Candidatus_Peribacteria	 g__Candidatus_Peribacteria	 s__uncultured_soil
f7b793b722da0a2cd3370875c18d518d	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__uncultured	 s__uncultured_bacterium
76f81770e06a821656c4358720f2c274	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
749f49c12fa3cfb0d0d48184f76b82a7	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__uncultured	 s__uncultured_bacterium
63d571bd9c7e9657f11e156de3865910	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	unknown	unknown
5ae0376ddd5d2d3be10943015a63856d	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	unknown	unknown
b337ed527eb5ec466dbb28f6145097e5	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__Kouleothrix	unknown
4fe1227433885c7c30a703fa55918a08	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__uncultured	 s__uncultured_Chloroflexaceae
9a28747ec18c3ff5b0a742da62a26bc8	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__uncultured	 s__uncultured_Chloroflexaceae
8c72dc1e53b0bf5479460081ca872eb3	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__Kouleothrix	 s__uncultured_Chloroflexi
0ded458d0be6a3d9f815c423d1696419	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
37fd2589439b7c32a43948fbe870829f	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	unknown
175c3070db7634fdca5e3bad2d32d0a4	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	 s__uncultured_Planctomycetales
cf226ba897766d78774e414732eb08f3	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	unknown
173e772d7c09dc8f83b72ed5407abdf6	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	 s__uncultured_soil
8371c7cdea81185f2bd7cab0a4331f3a	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	 s__uncultured_Planctomycetales
f853cc2f428a98f4ce9d1010e0dc69d4	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	 s__uncultured_soil
446616b4cd7f09f30c3b9c6a9d08d974	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	 s__uncultured_soil
e1f309c6f7c96876b950fe28cead9752	d__Bacteria	 p__Gemmatimonadota	 c__S0134_terrestrial_group	 o__S0134_terrestrial_group	 f__S0134_terrestrial_group	 g__S0134_terrestrial_group	 s__uncultured_compost
5c797e51f7421db6db05ee60ed72fbb8	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
edd342c37a68edbf7d14bf345ac0e336	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
b566ee3e27aa803a4e2e5fa09153f7d6	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	 s__metagenome
6568aabb2a7a8047f437f435ce0e2755	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	 s__metagenome
94ec9f2ab243f8f1e3417a099d75874e	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	 s__metagenome
919674b0ed54dc967f40ec3548476414	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
52a98f1ad95c0991986ff1cebecee89b	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	unknown
46beba31a3e81f3f322b0f8c9415a23c	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	unknown	unknown	unknown	unknown
ee1d408dfcd94eef50256bf10cc1de9c	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
40498805d84d4e06b45d5d4240b7ce85	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
ffc0020158238bb9666389077d3808a1	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
22cd7a92b905cbf51dcf1829eb76aa65	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
192891244ebf2f87265c19e4ac048a0f	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
6b02c9ef3161e6e8bf6626db1d87b8f0	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	unknown
9a90edfb3654642b4139f322f4116fd5	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__unidentified
abb49fa81c063feb79b3fd969d14e26c	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__uncultured	 s__uncultured_Chloroflexi
088e9b73144bd328a4228d7c73802755	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Kallotenuales	 f__AKIW781	 g__AKIW781	 s__uncultured_Chloroflexi
4b1bc95a50773a3bc5f6de485d999550	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Kallotenuales	 f__AKIW781	 g__AKIW781	 s__uncultured_Chloroflexi
348b07a4b3988365902c74736cad1457	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	unknown	unknown
6918167ead9eab8461f38faf2d1120ea	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__uncultured	unknown
ecdedb7f65175147bf550ab2a66c331e	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	unknown	unknown
